Training started at 2026-04-08 23:46:44.493567
================================================================================
Episode 430: Reward=-273.02, Cost=2730170.20, Length=500
Episode 431: Reward=-267.62, Cost=2676248.69, Length=500
Episode 432: Reward=-277.53, Cost=2775281.22, Length=500
Episode 433: Reward=-272.62, Cost=2726222.72, Length=500
Episode 434: Reward=-269.85, Cost=2698530.30, Length=500
Episode 435: Reward=-264.77, Cost=2647663.49, Length=500
Episode 436: Reward=-278.74, Cost=2787442.90, Length=500
Episode 437: Reward=-262.22, Cost=2622219.71, Length=500
Episode 438: Reward=-277.29, Cost=2772924.51, Length=500
Episode 439: Reward=-267.51, Cost=2675083.70, Length=500
Episode 440: Reward=-260.07, Cost=2600729.57, Length=500
Episode 441: Reward=-272.46, Cost=2724629.28, Length=500
Episode 442: Reward=-310.32, Cost=3103216.88, Length=500
Episode 443: Reward=-274.25, Cost=2742525.54, Length=500
Episode 444: Reward=-269.81, Cost=2698140.77, Length=500
Episode 445: Reward=-279.24, Cost=2792400.95, Length=500
Episode 446: Reward=-267.11, Cost=2671103.79, Length=500
Episode 447: Reward=-276.92, Cost=2769211.89, Length=500
Episode 448: Reward=-268.12, Cost=2681180.06, Length=500
Episode 449: Reward=-268.98, Cost=2689764.86, Length=500
Episode 450: Reward=-269.19, Cost=2691931.68, Length=500
Episode 451: Reward=-272.87, Cost=2728725.89, Length=500
Episode 452: Reward=-267.81, Cost=2678133.36, Length=500
Episode 453: Reward=-277.03, Cost=2770335.42, Length=500
Episode 454: Reward=-287.31, Cost=2873091.23, Length=500
Episode 455: Reward=-268.99, Cost=2689923.19, Length=500
Episode 456: Reward=-268.83, Cost=2688348.18, Length=500
Episode 457: Reward=-283.09, Cost=2830949.69, Length=500
Episode 458: Reward=-268.30, Cost=2683026.84, Length=500
Episode 459: Reward=-339.96, Cost=3399601.64, Length=500
Episode 460: Reward=-270.91, Cost=2709125.07, Length=500
